CDRDATE,SERVICE_KEY,IS_ROAMING,ISBFT,DIAMETER,TOTAL,REMARK
2023-11-06 17,300,1,0,4012,17460,day0
2023-11-06 17,300,0,0,5004,21360,day0
2023-11-06 17,300,1,0,5031,25,day0
2023-11-06 17,400,1,0,2001,4,day0
2023-11-06 18,100,0,0,2001,128257,day0
2023-11-06 18,100,1,0,2001,11,day0
2023-11-06 18,100,0,0,4010,1634,day0
2023-11-06 18,100,1,0,4010,5,day0
2023-11-06 18,100,0,0,4012,59466,day0
2023-11-06 18,100,1,0,4012,60,day0
2023-11-06 18,100,0,0,5030,3,day0
2023-11-06 18,100,0,0,5031,4230,day0
2023-11-06 18,100,1,0,5031,20,day0
2023-11-06 18,100,0,0,,4084,day0
2023-11-06 18,100,1,0,,11,day0
2023-11-06 18,133,0,0,,244,day0
2023-11-06 18,150,0,0,4010,10,day0
2023-11-06 18,150,0,0,5030,182,day0
2023-11-06 18,150,0,0,5031,1,day0
2023-11-06 18,150,0,0,,21,day0
2023-11-06 18,200,0,0,2001,224,day0
2023-11-06 18,200,0,0,4012,1,day0
2023-11-06 18,300,1,0,2001,110,day0
2023-11-06 18,300,1,0,4010,1,day0
2023-11-06 18,300,1,0,4012,5229,day0
2023-11-06 18,300,0,0,5004,10882,day0
2023-11-06 18,300,1,0,5031,20,day0
2023-11-06 18,400,1,0,2001,2,day0
2023-11-06 18,400,1,0,5031,1,day0
2023-11-06 19,100,0,0,2001,124215,day0
2023-11-06 19,100,1,0,2001,5,day0
2023-11-06 19,100,0,0,4010,1630,day0
2023-11-06 19,100,1,0,4010,5,day0
2023-11-06 19,100,0,0,4012,54357,day0
2023-11-06 19,100,1,0,4012,55,day0
2023-11-06 19,100,0,0,5031,3405,day0
2023-11-06 19,100,1,0,5031,66,day0
2023-11-06 19,100,0,0,,4187,day0
2023-11-06 19,100,1,0,,6,day0
2023-11-06 19,133,0,0,,326,day0
2023-11-06 19,150,0,0,4010,21,day0
2023-11-06 19,150,0,0,5030,156,day0
2023-11-06 19,150,0,0,,13,day0
2023-11-06 19,200,0,0,2001,231,day0
2023-11-06 19,200,0,0,4010,1,day0
2023-11-06 19,200,0,0,5030,3,day0
2023-11-06 19,200,0,0,5031,2,day0
2023-11-06 19,300,1,0,2001,89,day0
