CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL,REMARK
25-10-2023 12,100,0,5031.0,1184,day0
25-10-2023 12,100,0,5031.0,3449,day0
25-10-2023 12,100,1,5031.0,6,day0
25-10-2023 12,100,0,,2543,day0
25-10-2023 12,100,0,,873,day0
25-10-2023 12,100,1,,1,day0
25-10-2023 12,100,1,,2,day0
25-10-2023 12,133,0,,185,day0
25-10-2023 12,150,0,2001.0,1,day0
25-10-2023 12,150,0,4010.0,22,day0
25-10-2023 12,150,0,4010.0,10,day0
25-10-2023 12,150,0,4012.0,1,day0
25-10-2023 12,150,0,5030.0,23,day0
25-10-2023 12,150,0,5030.0,59,day0
25-10-2023 12,150,0,5031.0,3,day0
25-10-2023 12,150,0,,6,day0
25-10-2023 12,150,0,,3,day0
25-10-2023 12,200,0,2001.0,419,day0
25-10-2023 12,200,0,2001.0,144,day0
25-10-2023 12,200,0,4012.0,4,day0
25-10-2023 12,200,0,4012.0,3,day0
25-10-2023 12,200,0,5031.0,4,day0
25-10-2023 12,300,1,2001.0,132,day0
25-10-2023 12,300,1,2001.0,68,day0
25-10-2023 12,300,1,4012.0,1991,day0
25-10-2023 12,300,1,4012.0,1402,day0
25-10-2023 12,300,0,5004.0,2157,day0
25-10-2023 12,300,0,5004.0,1601,day0
25-10-2023 12,300,1,5031.0,34,day0
25-10-2023 12,300,1,5031.0,19,day0
25-10-2023 12,400,0,5004.0,1,day0
25-10-2023 13,100,1,2001.0,1,day0
25-10-2023 13,100,0,2001.0,15420,day0
25-10-2023 13,100,0,2001.0,45266,day0
25-10-2023 13,100,1,2001.0,9,day0
25-10-2023 13,100,0,4010.0,220,day0
25-10-2023 13,100,0,4010.0,76,day0
25-10-2023 13,100,1,4012.0,14,day0
25-10-2023 13,100,1,4012.0,14,day0
25-10-2023 13,100,0,4012.0,6830,day0
25-10-2023 13,100,0,4012.0,19964,day0
25-10-2023 13,100,1,5031.0,1,day0
25-10-2023 13,100,0,5031.0,1908,day0
25-10-2023 13,100,1,5031.0,6,day0
25-10-2023 13,100,0,5031.0,614,day0
25-10-2023 13,100,0,,457,day0
25-10-2023 13,100,1,,2,day0
25-10-2023 13,100,0,,1350,day0
25-10-2023 13,133,0,,120,day0
25-10-2023 13,150,0,4010.0,11,day0
25-10-2023 13,150,0,4010.0,3,day0
25-10-2023 13,150,0,4012.0,1,day0
25-10-2023 13,150,0,5030.0,36,day0
25-10-2023 13,150,0,5030.0,16,day0
25-10-2023 13,150,0,,1,day0
25-10-2023 13,200,0,2001.0,236,day0
25-10-2023 13,200,0,2001.0,708,day0
25-10-2023 13,200,0,4012.0,4,day0
25-10-2023 13,200,0,4012.0,1,day0
25-10-2023 13,200,0,5031.0,2,day0
25-10-2023 13,200,0,5031.0,2,day0
25-10-2023 13,300,1,2001.0,44,day0
25-10-2023 13,300,1,2001.0,61,day0
25-10-2023 13,300,1,4012.0,992,day0
25-10-2023 13,300,1,4012.0,696,day0
25-10-2023 13,300,0,5004.0,1352,day0
25-10-2023 13,300,0,5004.0,969,day0
25-10-2023 13,300,1,5031.0,24,day0
25-10-2023 13,300,1,5031.0,17,day0
25-10-2023 13,400,1,2001.0,1,day0
24-10-2023 00,100,0,2001.0,6126,day1
24-10-2023 00,100,0,2001.0,17768,day1
24-10-2023 00,100,1,2001.0,3,day1
24-10-2023 00,100,1,2001.0,4,day1
24-10-2023 00,100,0,4010.0,111,day1
24-10-2023 00,100,0,4010.0,37,day1
24-10-2023 00,100,0,4012.0,2798,day1
24-10-2023 00,100,1,4012.0,24,day1
24-10-2023 00,100,0,4012.0,8243,day1
24-10-2023 00,100,1,4012.0,16,day1
24-10-2023 00,100,0,5031.0,1058,day1
24-10-2023 00,100,0,5031.0,352,day1
24-10-2023 00,100,1,5031.0,9,day1
24-10-2023 00,100,1,5031.0,5,day1
24-10-2023 00,100,0,,215,day1
24-10-2023 00,100,1,,1,day1
24-10-2023 00,100,0,,659,day1
24-10-2023 00,133,0,,44,day1
24-10-2023 00,150,0,4010.0,1,day1
24-10-2023 00,150,0,4010.0,2,day1
24-10-2023 00,150,0,5030.0,5,day1
24-10-2023 00,150,0,5030.0,21,day1
24-10-2023 00,150,0,,1,day1
24-10-2023 00,150,0,,2,day1
24-10-2023 00,200,0,2001.0,5,day1
24-10-2023 00,200,0,2001.0,23,day1
24-10-2023 00,300,1,2001.0,16,day1
24-10-2023 00,300,1,2001.0,6,day1
24-10-2023 00,300,1,4012.0,329,day1
24-10-2023 00,300,1,4012.0,335,day1
24-10-2023 00,300,0,5004.0,13,day1
24-10-2023 00,300,0,5004.0,20,day1
24-10-2023 00,300,1,5031.0,12,day1
24-10-2023 00,300,1,5031.0,19,day1
24-10-2023 01,100,0,2001.0,3778,day1
24-10-2023 01,100,1,2001.0,9,day1
24-10-2023 01,100,0,2001.0,11421,day1
24-10-2023 01,100,1,2001.0,3,day1
24-10-2023 01,100,0,4010.0,75,day1
24-10-2023 01,100,0,4010.0,34,day1
24-10-2023 01,100,0,4012.0,1873,day1
24-10-2023 01,100,0,4012.0,5427,day1
24-10-2023 01,100,1,4012.0,13,day1
24-10-2023 01,100,1,4012.0,8,day1
24-10-2023 01,100,0,5000.0,1,day1
24-10-2023 01,100,0,5000.0,6,day1
24-10-2023 01,100,0,5031.0,149,day1
24-10-2023 01,100,1,5031.0,2,day1
24-10-2023 01,100,0,5031.0,456,day1
24-10-2023 01,100,1,5031.0,2,day1
24-10-2023 01,100,0,,453,day1
24-10-2023 01,100,1,,1,day1
24-10-2023 01,100,0,,148,day1
24-10-2023 01,100,1,,1,day1
24-10-2023 01,133,0,,39,day1
24-10-2023 01,150,0,4010.0,3,day1
24-10-2023 01,150,0,4010.0,2,day1
24-10-2023 01,150,0,5030.0,3,day1
24-10-2023 01,150,0,5030.0,7,day1
24-10-2023 01,150,0,,1,day1
24-10-2023 01,200,0,2001.0,20,day1
24-10-2023 01,200,0,2001.0,11,day1
24-10-2023 01,200,0,5031.0,1,day1
24-10-2023 01,300,1,2001.0,20,day1
24-10-2023 01,300,1,2001.0,6,day1
24-10-2023 01,300,1,4012.0,68,day1
24-10-2023 01,300,1,4012.0,68,day1
24-10-2023 01,300,0,5004.0,46,day1
24-10-2023 01,300,0,5004.0,32,day1
24-10-2023 02,100,0,2001.0,8141,day1
24-10-2023 02,100,1,2001.0,2,day1
24-10-2023 02,100,0,2001.0,2664,day1
24-10-2023 02,100,0,4010.0,18,day1
24-10-2023 02,100,0,4010.0,69,day1
24-10-2023 02,100,0,4012.0,1267,day1
24-10-2023 02,100,1,4012.0,2,day1
24-10-2023 02,100,1,4012.0,5,day1
24-10-2023 02,100,0,4012.0,3598,day1
24-10-2023 02,100,0,5031.0,286,day1
24-10-2023 02,100,1,5031.0,3,day1
24-10-2023 02,100,0,5031.0,103,day1
24-10-2023 02,100,1,5031.0,4,day1
24-10-2023 02,100,0,,112,day1
24-10-2023 02,100,0,,326,day1
24-10-2023 02,133,0,,12,day1
24-10-2023 02,150,0,4010.0,1,day1
24-10-2023 02,150,0,4010.0,1,day1
24-10-2023 02,150,0,5030.0,1,day1
24-10-2023 02,150,0,5030.0,6,day1
24-10-2023 02,200,0,2001.0,6,day1
24-10-2023 02,200,0,2001.0,21,day1
24-10-2023 02,300,1,2001.0,9,day1
