CDRDATE,SERVICE_KEY,DIAMETER,TOTAL
21-10-2023 13:36,100,5031.0,44
21-10-2023 13:36,100,5031.0,13
21-10-2023 13:36,100,,15
21-10-2023 13:36,100,,51
21-10-2023 13:36,133,,7
21-10-2023 13:36,150,5030.0,2
21-10-2023 13:36,200,2001.0,2
21-10-2023 13:36,200,2001.0,5
21-10-2023 13:36,300,2001.0,1
21-10-2023 13:36,300,4012.0,8
21-10-2023 13:36,300,4012.0,3
21-10-2023 13:36,300,5004.0,18
21-10-2023 13:36,300,5004.0,19
21-10-2023 13:37,100,2001.0,410
21-10-2023 13:37,100,2001.0,933
21-10-2023 13:37,100,4010.0,1
21-10-2023 13:37,100,4010.0,5
21-10-2023 13:37,100,4012.0,443
21-10-2023 13:37,100,4012.0,183
21-10-2023 13:37,100,5031.0,12
21-10-2023 13:37,100,5031.0,29
21-10-2023 13:37,100,,18
21-10-2023 13:37,100,,30
21-10-2023 13:37,133,,3
21-10-2023 13:37,150,5030.0,1
21-10-2023 13:37,150,5030.0,2
21-10-2023 13:37,200,2001.0,1
21-10-2023 13:37,200,2001.0,4
21-10-2023 13:37,300,4012.0,7
21-10-2023 13:37,300,4012.0,10
21-10-2023 13:37,300,5004.0,1
21-10-2023 13:37,300,5004.0,1
21-10-2023 13:39,100,2001.0,1235
21-10-2023 13:39,100,2001.0,471
21-10-2023 13:39,100,4010.0,2
21-10-2023 13:39,100,4010.0,5
21-10-2023 13:39,100,4012.0,657
21-10-2023 13:39,100,4012.0,215
21-10-2023 13:39,100,5031.0,21
21-10-2023 13:39,100,5031.0,47
21-10-2023 13:39,100,,34
21-10-2023 13:39,100,,15
21-10-2023 13:39,133,,7
21-10-2023 13:39,150,5030.0,1
21-10-2023 13:39,150,5030.0,3
21-10-2023 13:39,200,2001.0,8
21-10-2023 13:39,200,2001.0,1
21-10-2023 13:39,300,2001.0,1
21-10-2023 13:39,300,4012.0,20
21-10-2023 13:39,300,4012.0,17
21-10-2023 13:39,300,5004.0,5
21-10-2023 13:39,300,5004.0,4
21-10-2023 13:40,100,2001.0,483
21-10-2023 13:40,100,2001.0,1266
21-10-2023 13:40,100,4010.0,8
21-10-2023 13:40,100,4010.0,2
