CDR_DATE,CP_NAME,ACCESSFLAG,TOTAL,SUCCESS,REMARK
05-01-2024,Triyakom,72,2929,2378,day7
05-01-2024,Utopia,72,3739,2993,day7
05-01-2024,Yatta Eracipta Solusi,72,1,0,day7
05-01-2024,18 Box Media,73,387724,375957,day7
05-01-2024,8Elements,73,26749,21192,day7
05-01-2024,Artha_Ghani_Sempurna,73,638127,622013,day7
05-01-2024,CP Nine Live,73,947,936,day7
05-01-2024,Celltick_Project,73,1088973,1078998,day7
05-01-2024,Era Digital Media,73,1517793,1492063,day7
05-01-2024,Falcon,73,1230301,1224396,day7
05-01-2024,Forest Indo Niaga,73,43529,42344,day7
05-01-2024,GENFLIX,73,194817,192305,day7
05-01-2024,Galatic Multimedia_oomph,73,14668,12170,day7
05-01-2024,Global Media Solusi,73,5535,1244,day7
05-01-2024,Hypermind,73,29390,29029,day7
05-01-2024,Integrasi Tunas Muda,73,72775,72103,day7
05-01-2024,KEE_Digital,73,184304,183508,day7
05-01-2024,LinkIT_360,73,545399,531522,day7
05-01-2024,Macrokiosk,73,6,6,day7
05-01-2024,Mocoplus_Technology,73,1088,1057,day7
05-01-2024,Opera,73,632,276,day7
05-01-2024,PT Festival Digital Nusantara,73,65481,64338,day7
05-01-2024,PT Milenial Nusantara Citra,73,2105,2012,day7
05-01-2024,PT SMSNET NUSANTARA WAPINDO,73,513,7,day7
05-01-2024,PT. Aman Devloop Indonesia,73,45428,44969,day7
05-01-2024,PT. Distribution Oriented Technologies,73,138,137,day7
05-01-2024,PT. Gloria Viva Nusantara,73,898862,3031,day7
05-01-2024,PT. Panen Kita Mandiri,73,4154,1312,day7
05-01-2024,SahabatMudaKreatif,73,651844,645966,day7
05-01-2024,Saharjo enam sembilan,73,27832,4055,day7
05-01-2024,SaktiMobile,73,3823,1201,day7
05-01-2024,Sinergi Bestama Indonesia,73,149634,145165,day7
05-01-2024,Telesat_System_Integrator,73,16094,14471,day7
05-01-2024,Terminal Kreasi Nusantara,73,16779,1077,day7
05-01-2024,Triple One Global,73,5,5,day7
05-01-2024,Triyakom,73,333543,328285,day7
05-01-2024,Utopia,73,2103966,2008681,day7
05-01-2024,Yatta Eracipta Solusi,73,183636,181733,day7
