CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL
2023-11-05 00:47,100.0,0.0,4012.0,214.0
2023-11-05 00:47,100.0,0.0,5031.0,27.0
2023-11-05 00:47,100.0,0.0,,20.0
2023-11-05 00:47,133.0,0.0,,1.0
2023-11-05 00:48,100.0,0.0,2001.0,556.0
2023-11-05 00:48,100.0,0.0,4010.0,12.0
2023-11-05 00:48,100.0,0.0,4012.0,246.0
2023-11-05 00:48,100.0,0.0,5031.0,21.0
2023-11-05 00:48,100.0,0.0,,13.0
2023-11-05 00:48,133.0,0.0,,1.0
2023-11-05 00:48,300.0,0.0,5004.0,16.0
2023-11-05 00:49,100.0,0.0,2001.0,288.0
2023-11-05 00:49,100.0,0.0,4010.0,2.0
2023-11-05 00:49,100.0,0.0,4012.0,161.0
2023-11-05 00:49,100.0,1.0,4012.0,1.0
2023-11-05 00:49,100.0,0.0,5031.0,17.0
2023-11-05 00:49,100.0,0.0,,8.0
2023-11-05 00:49,100.0,1.0,,1.0
2023-11-05 00:49,133.0,0.0,,1.0
2023-11-05 00:49,150.0,0.0,,1.0
2023-11-05 00:50,100.0,0.0,2001.0,533.0
2023-11-05 00:50,100.0,0.0,4010.0,11.0
2023-11-05 00:50,100.0,0.0,4012.0,245.0
2023-11-05 00:50,100.0,0.0,5031.0,35.0
2023-11-05 00:50,100.0,0.0,,14.0
2023-11-05 00:51,100.0,0.0,2001.0,503.0
2023-11-05 00:51,100.0,0.0,4010.0,9.0
2023-11-05 00:51,100.0,0.0,4012.0,261.0
2023-11-05 00:51,100.0,1.0,4012.0,1.0
2023-11-05 00:51,100.0,0.0,5031.0,35.0
2023-11-05 00:51,100.0,0.0,,14.0
2023-11-05 00:52,100.0,0.0,2001.0,529.0
2023-11-05 00:52,100.0,0.0,4010.0,10.0
2023-11-05 00:52,100.0,0.0,4012.0,251.0
2023-11-05 00:52,100.0,0.0,5031.0,31.0
2023-11-05 00:52,100.0,0.0,,21.0
2023-11-05 00:52,150.0,0.0,5030.0,2.0
2023-11-05 00:52,200.0,0.0,2001.0,2.0
2023-11-05 00:52,300.0,1.0,4012.0,10.0
2023-11-05 00:53,100.0,0.0,2001.0,580.0
2023-11-05 00:53,100.0,0.0,4010.0,9.0
2023-11-05 00:53,100.0,0.0,4012.0,288.0
2023-11-05 00:53,100.0,1.0,4012.0,1.0
2023-11-05 00:53,100.0,0.0,5031.0,37.0
2023-11-05 00:53,100.0,0.0,,17.0
2023-11-05 00:53,150.0,0.0,4010.0,1.0
2023-11-05 00:53,200.0,0.0,2001.0,1.0
2023-11-05 00:53,300.0,1.0,4012.0,5.0
2023-11-05 00:54,100.0,0.0,2001.0,490.0
2023-11-05 00:54,100.0,0.0,4010.0,13.0
2023-11-05 00:54,100.0,0.0,4012.0,254.0
2023-11-05 00:54,100.0,1.0,4012.0,1.0
2023-11-05 00:54,100.0,0.0,5031.0,27.0
2023-11-05 00:54,100.0,0.0,,14.0
2023-11-05 00:54,133.0,0.0,,1.0
2023-11-05 00:54,300.0,1.0,4012.0,3.0
2023-11-05 00:55,100.0,0.0,2001.0,555.0
2023-11-05 00:55,100.0,0.0,4010.0,9.0
2023-11-05 00:55,100.0,0.0,4012.0,235.0
2023-11-05 00:55,100.0,1.0,4012.0,1.0
2023-11-05 00:55,100.0,0.0,5031.0,30.0
2023-11-05 00:55,100.0,0.0,,15.0
2023-11-05 00:55,133.0,0.0,,2.0
2023-11-05 00:55,300.0,1.0,2001.0,1.0
2023-11-05 00:56,100.0,0.0,2001.0,561.0
2023-11-05 00:56,100.0,0.0,4010.0,8.0
2023-11-05 00:56,100.0,0.0,4012.0,232.0
2023-11-05 00:56,100.0,0.0,5031.0,26.0
2023-11-05 00:56,100.0,0.0,,13.0
2023-11-05 00:56,150.0,0.0,5030.0,1.0
2023-11-05 00:56,150.0,0.0,,1.0
2023-11-05 00:57,100.0,0.0,2001.0,452.0
2023-11-05 00:57,100.0,1.0,2001.0,1.0
2023-11-05 00:57,100.0,0.0,4010.0,8.0
2023-11-05 00:57,100.0,0.0,4012.0,257.0
2023-11-05 00:57,100.0,0.0,5031.0,20.0
2023-11-05 00:57,100.0,0.0,,21.0
2023-11-05 00:57,133.0,0.0,,2.0
2023-11-05 00:57,150.0,0.0,5030.0,1.0
2023-11-05 00:57,150.0,0.0,,2.0
2023-11-05 00:57,300.0,0.0,5004.0,3.0
2023-11-05 00:58,100.0,0.0,2001.0,458.0
2023-11-05 00:58,100.0,0.0,4010.0,11.0
2023-11-05 00:58,100.0,0.0,4012.0,247.0
2023-11-05 00:58,100.0,0.0,5031.0,24.0
2023-11-05 00:58,100.0,0.0,,14.0
2023-11-05 00:58,133.0,0.0,,1.0
2023-11-05 00:58,150.0,0.0,5030.0,3.0
2023-11-05 00:58,300.0,1.0,4012.0,4.0
2023-11-05 00:58,300.0,0.0,5004.0,30.0
2023-11-05 00:59,100.0,0.0,2001.0,287.0
2023-11-05 00:59,100.0,0.0,4010.0,2.0
2023-11-05 00:59,100.0,0.0,4012.0,128.0
2023-11-05 00:59,100.0,0.0,5031.0,11.0
2023-11-05 00:59,100.0,0.0,,4.0
2023-11-05 00:59,150.0,0.0,5030.0,1.0
2023-11-05 00:59,200.0,0.0,5031.0,1.0
2023-11-05 00:59,300.0,1.0,4012.0,6.0
2023-11-05 00:59,300.0,0.0,5004.0,25.0
2023-11-05 01:00,100.0,0.0,2001.0,488.0
2023-11-05 01:00,100.0,0.0,4010.0,5.0
2023-11-05 01:00,100.0,0.0,4012.0,260.0
2023-11-05 01:00,100.0,0.0,5031.0,22.0
2023-11-05 01:00,100.0,0.0,,16.0
2023-11-05 01:01,100.0,0.0,2001.0,487.0
2023-11-05 01:01,100.0,0.0,4010.0,10.0
2023-11-05 01:01,100.0,0.0,4012.0,262.0
2023-11-05 01:01,100.0,0.0,5031.0,26.0
2023-11-05 01:01,100.0,0.0,,10.0
2023-11-05 01:01,133.0,0.0,,2.0
2023-11-05 01:01,300.0,1.0,2001.0,1.0
2023-11-05 01:02,100.0,0.0,2001.0,475.0
2023-11-05 01:02,100.0,0.0,4010.0,6.0
2023-11-05 01:02,100.0,0.0,4012.0,243.0
2023-11-05 01:02,100.0,0.0,5031.0,24.0
2023-11-05 01:02,100.0,0.0,,13.0
2023-11-05 01:02,133.0,0.0,,1.0
2023-11-05 01:02,150.0,0.0,5030.0,1.0
2023-11-05 01:03,100.0,0.0,2001.0,419.0
2023-11-05 01:03,100.0,0.0,4010.0,6.0
2023-11-05 01:03,100.0,0.0,4012.0,254.0
2023-11-05 01:03,100.0,0.0,5031.0,19.0
2023-11-05 01:03,100.0,0.0,,17.0
2023-11-05 01:03,133.0,0.0,,1.0
2023-11-05 01:04,100.0,0.0,2001.0,444.0
2023-11-05 01:04,100.0,1.0,2001.0,1.0
2023-11-05 01:04,100.0,0.0,4010.0,11.0
2023-11-05 01:04,100.0,0.0,4012.0,239.0
2023-11-05 01:04,100.0,0.0,5031.0,23.0
2023-11-05 01:04,100.0,0.0,,9.0
2023-11-05 01:04,133.0,0.0,,2.0
2023-11-05 01:04,150.0,0.0,5030.0,2.0
2023-11-05 01:05,100.0,0.0,2001.0,479.0
2023-11-05 01:05,100.0,1.0,2001.0,2.0
2023-11-05 01:05,100.0,0.0,4010.0,7.0
2023-11-05 01:05,100.0,0.0,4012.0,227.0
2023-11-05 01:05,100.0,0.0,5031.0,17.0
2023-11-05 01:05,100.0,0.0,,14.0
2023-11-05 01:06,100.0,0.0,2001.0,457.0
2023-11-05 01:06,100.0,0.0,4010.0,17.0
2023-11-05 01:06,100.0,0.0,4012.0,209.0
2023-11-05 01:06,100.0,1.0,4012.0,1.0
2023-11-05 01:06,100.0,0.0,5031.0,26.0
2023-11-05 01:06,100.0,0.0,,10.0
2023-11-05 01:06,133.0,0.0,,3.0
2023-11-05 01:06,150.0,0.0,5030.0,3.0
2023-11-05 01:06,200.0,0.0,2001.0,1.0
2023-11-05 01:07,100.0,0.0,2001.0,497.0
2023-11-05 01:07,100.0,0.0,4010.0,7.0
2023-11-05 01:07,100.0,0.0,4012.0,212.0
2023-11-05 01:07,100.0,0.0,5031.0,22.0
2023-11-05 01:07,100.0,0.0,,12.0
2023-11-05 01:07,133.0,0.0,,1.0
2023-11-05 01:08,100.0,0.0,2001.0,443.0
2023-11-05 01:08,100.0,1.0,2001.0,1.0
2023-11-05 01:08,100.0,0.0,4010.0,9.0
